result_id,group_id,group_by,metric_length_in_chars,metric_length_in_words,metric_length_in_unique_words,metric_length_in_concepts,metric_length_in_sentences,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_dsi,metric_surprise,metric_raw_surprises,metric_n_gram_diversity,metric_pos_diversity,metric_avg_dependency_num_clauses,metric_max_dependency_num_clauses,metric_avg_dependency_path_length,metric_max_dependency_path_length,metric_inv_homogen,metric_novelty,metric_theme_uniqueness,metric_length_in_first_person_singular,metric_length_in_first_person_plural,metric_length_in_second_person,metric_length_in_third_person_singular,metric_length_in_third_person_plural,metric_length_in_first_person,metric_length_in_third_person,metric_dependency_num_clauses_weighted_by_sentence_length,metric_avg_pos_noun_ratio,metric_avg_pos_verb_ratio,metric_avg_pos_adj_ratio,metric_avg_pos_adv_ratio,metric_avg_pos_pron_ratio,metric_avg_pos_det_ratio,metric_avg_pos_adp_ratio
45b729c8b17d,"['claude-3-5-sonnet-20240620', 'stamp-letter-send']","['model', 'id']",799,133,94,60,5,4.894736842105263,159.0,26.6,24.4,0.21172876085265208,0.01089146345083028,"[0.008920832664247536, 0.0017666256908095423, 0.004497571305914244, 0.006597897240689238]","[0.706766917293233, 0.9848484848484849, 1.0, 1.0, 1.0]","[0.09022556390977443, 0.38636363636363635, 0.6946564885496184, 0.8538461538461538, 0.9457364341085271]",3.0,5,3.37635106753522,9,0.05579610913991928,0.0032084800204972286,0.2,0,0,0,12,0,0,12,3.0,0.20929510155316608,0.16077658303464754,0.11366547192353643,0.03933333333333333,0.0888363201911589,0.1456726403823178,0.11831780167264037
3f50c25516df,"['claude-3-5-sonnet-20240620', 'stamp-letter-send']","['model', 'id']",722,122,82,54,5,4.819672131147541,143.6,24.4,22.2,0.21041795271914127,0.014378482683912508,"[0.001467878658534122, 0.000925372534500063, 0.0075980033074225795, 0.01876571086736825]","[0.6721311475409836, 0.9752066115702479, 1.0, 1.0, 1.0]","[0.09836065573770492, 0.39669421487603307, 0.7166666666666667, 0.8991596638655462, 0.9661016949152542]",3.8,6,3.0348470495060367,8,0.08753984918196996,0.005830096287518849,0.3333333333333333,0,0,0,11,0,0,11,3.8,0.23411224790535134,0.1753252494631805,0.065929855585028,0.025150519978106183,0.09248031661824765,0.12496526462043703,0.14993052924087408
6d8b06e240ea,"['claude-3-5-sonnet-20240620', 'stamp-letter-send']","['model', 'id']",758,126,88,60,5,4.920634920634921,150.8,25.2,22.4,0.2125359595832178,0.006239744639029099,"[0.008644072094348948, 6.857736683113513e-05, 0.0009774191257281295, 0.0027894206911499853]","[0.6984126984126984, 0.976, 1.0, 1.0, 1.0]","[0.09523809523809523, 0.384, 0.6693548387096774, 0.8373983739837398, 0.9344262295081968]",3.2,7,3.497294347959162,10,0.05025437225898107,0.0015940825593657726,0.1,0,0,0,14,0,0,14,3.2,0.21239249639249638,0.16832611832611832,0.09004425204425204,0.03299182299182299,0.11826647426647427,0.1250966810966811,0.1202058682058682
286463a59554,"['claude-3-5-sonnet-20240620', 'stamp-letter-send']","['model', 'id']",717,113,82,58,5,5.265486725663717,142.6,22.6,20.4,0.21252649016475506,0.01574861300098787,"[0.016397500038146967, 0.009818137787676928, 0.0037660064238371205, 0.0015155817523147264]","[0.7256637168141593, 0.9910714285714286, 1.0, 1.0, 1.0]","[0.10619469026548672, 0.41964285714285715, 0.7027027027027027, 0.8363636363636363, 0.9357798165137615]",2.8,4,3.465129950794547,10,0.06248990694681803,0.0016130213962912698,0.25,0,0,0,9,0,0,9,2.8,0.2410740479962448,0.14951090099831518,0.0873498545695342,0.046964400968977624,0.08084718485176151,0.13028977125086966,0.13412712382964098
b6d3a6eed750,"['claude-3-5-sonnet-20240620', 'stamp-letter-send']","['model', 'id']",756,124,87,58,5,4.975806451612903,150.4,24.8,23.0,0.21405719192692962,0.009624096019139147,"[0.008920832664247536, 0.0017666256908095423, 0.005458581098270077, 0.00310215258495114]","[0.7016129032258065, 0.959349593495935, 0.9918032786885246, 1.0, 1.0]","[0.10483870967741936, 0.3983739837398374, 0.7131147540983607, 0.9008264462809917, 0.975]",3.2,5,3.5624622181454817,9,0.047170634071032204,0.001448382128057868,0.2,0,0,0,11,0,0,11,3.2,0.2557183557183557,0.16507529507529506,0.07462352462352462,0.04238095238095238,0.08638990638990639,0.12508750508750507,0.13277981277981277
7bce9126bc25,"['claude-3-5-sonnet-20240620', 'stamp-letter-send']","['model', 'id']",776,121,89,62,5,5.322314049586777,154.4,24.2,22.6,0.21235614271153855,0.016939523547581173,"[0.016397500038146967, 0.009818137787676928, 0.005571753521025902, 0.0020916557483125486]","[0.7355371900826446, 1.0, 1.0, 1.0, 1.0]","[0.09917355371900827, 0.4, 0.7226890756302521, 0.8983050847457628, 0.9572649572649573]",3.4,5,3.5022661292490986,10,0.0646086980899175,0.0019537163027242843,0.25,0,0,0,9,0,0,9,3.4,0.24696172915566508,0.17106887201280793,0.0748498545695342,0.050768748795064586,0.07912617035900789,0.11570643791753632,0.13204379049630766
1d80e63cab8b,"['claude-3-5-sonnet-20240620', 'stamp-letter-send']","['model', 'id']",862,147,91,61,5,4.761904761904762,171.6,29.4,25.8,0.213914666280069,0.02102416207508795,"[0.00664594125266027, 0.016282220993166674, 0.013552142514122872, 0.005568019390226081]","[0.6190476190476191, 0.958904109589041, 0.993103448275862, 1.0, 1.0]","[0.08163265306122448, 0.3424657534246575, 0.6275862068965518, 0.8125, 0.8951048951048951]",3.6,6,3.1942797207574825,9,0.0721795881787936,0.0011633308343366178,0.3333333333333333,0,0,0,15,0,0,15,3.6,0.23701209545603139,0.15485888634630054,0.0674915549743925,0.04012422360248447,0.10427209327666993,0.13147542769968398,0.1261131088591043
66873f027e92,"['claude-3-5-sonnet-20240620', 'stamp-letter-send']","['model', 'id']",867,143,96,65,5,4.979020979020979,172.6,28.6,25.2,0.21475404979517826,0.01062116903514547,"[0.008644072094348948, 6.857736683113513e-05, 0.006022121661748647, 0.006507566947362209]","[0.6713286713286714, 0.9507042253521126, 1.0, 1.0, 1.0]","[0.08391608391608392, 0.352112676056338, 0.6666666666666666, 0.8285714285714286, 0.920863309352518]",3.6,8,3.3810415915374445,10,0.05965449661016464,0.0028420978645551376,0.1,0,0,0,16,0,0,16,3.6,0.2629806763285024,0.127475845410628,0.0827061191626409,0.04657407407407407,0.11509500805152979,0.10897584541062802,0.1359573268921095
5338d65e752d,"['claude-3-5-sonnet-20240620', 'stamp-letter-send']","['model', 'id']",767,130,87,53,5,4.792307692307692,152.6,26.0,23.6,0.21180217549832017,0.008149756958778676,"[0.008920832664247536, 0.0030352397914572837, 0.002016714606622255, 0.0023267268552302767]","[0.6692307692307692, 0.9534883720930233, 0.984375, 1.0, 1.0]","[0.09230769230769231, 0.4186046511627907, 0.6953125, 0.8582677165354331, 0.9206349206349206]",3.4,5,3.639443001566989,10,0.041321761906147,0.003061650729161036,0.2,0,0,0,13,0,0,13,3.4,0.19123847167325428,0.13808300395256917,0.08939393939393939,0.05590909090909091,0.10723978919631094,0.1176943346508564,0.13472332015810276
ea62cd5b6cdb,"['claude-3-5-sonnet-20240620', 'stamp-letter-send']","['model', 'id']",791,132,95,59,5,4.886363636363637,157.4,26.4,25.2,0.20997439240378152,0.011752628523205952,"[0.008920832664247536, 0.0042896980549389785, 0.004704574722073446, 0.005590151605151944]","[0.7196969696969697, 0.9847328244274809, 1.0, 1.0, 1.0]","[0.08333333333333333, 0.3282442748091603, 0.6461538461538462, 0.8682170542635659, 0.9609375]",2.2,3,3.307240503355212,9,0.051727881034215294,0.0067172169182383445,0.1,0,0,0,13,2,0,15,2.2,0.21878787878787878,0.13303030303030303,0.1396969696969697,0.06333333333333334,0.11818181818181818,0.1296969696969697,0.11151515151515151
65f79d37e7a3,"['claude-3-5-sonnet-20240620', 'stamp-letter-send']","['model', 'id']",807,138,98,62,5,4.768115942028985,160.6,27.6,25.2,0.21140099451190136,0.017264518684599342,"[0.01083743179237448, 0.0018303290064081712, 0.010028656233440736, 0.011832620336975297]","[0.7101449275362319, 0.9708029197080292, 1.0, 1.0, 1.0]","[0.08695652173913043, 0.35036496350364965, 0.6764705882352942, 0.8814814814814815, 0.9626865671641791]",3.6,5,3.6107704033771104,10,0.06842510153849919,0.0038640127019986537,0.3333333333333333,0,0,0,9,0,0,9,3.6,0.22067564693371144,0.17197447713576747,0.08179227224388515,0.05700106345267636,0.07061963842609004,0.13957461892945763,0.10859766040411202
