result_id,group_id,group_by,metric_length_in_chars,metric_length_in_words,metric_length_in_unique_words,metric_length_in_concepts,metric_length_in_sentences,metric_type_token_ratio,metric_avg_word_length_in_chars,metric_avg_sentence_length_in_chars,metric_avg_sentence_length_in_words,metric_avg_sentence_length_in_unique_words,metric_length_in_first_person_singular,metric_length_in_first_person_plural,metric_length_in_second_person,metric_length_in_third_person_singular,metric_length_in_third_person_plural,metric_length_in_first_person,metric_length_in_third_person,metric_dsi,metric_surprise,metric_raw_surprises,metric_n_gram_diversity,metric_pos_diversity,metric_avg_dep_num_clauses,metric_max_dep_num_clauses,metric_avg_dep_path_length,metric_max_dep_path_length,metric_avg_constituency_tree_depth,metric_max_constituency_tree_depth,metric_readability_flesch_ease,metric_readability_flesch_kincaid,metric_avg_pos_noun_ratio,metric_avg_pos_verb_ratio,metric_avg_pos_adj_ratio,metric_avg_pos_adv_ratio,metric_avg_pos_pron_ratio,metric_avg_pos_det_ratio,metric_avg_pos_adp_ratio,metric_inv_homogen,metric_novelty,metric_theme_uniqueness,metric_interestingness
cba102f73156,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",558,108,69,47,5,0.6388888888888888,4.083333333333333,111.6,21.6,18.4,0,0,0,9,0,0,9,0.20650240208240264,0.011238422198887876,"[0.007653439269238949, 0.005571389378923375, 6.370643774666895e-05, 0.00918830931186676]","[0.6388888888888888, 0.9439252336448598, 0.9905660377358491, 1.0, 1.0]","[0.12037037037037036, 0.40186915887850466, 0.6886792452830188, 0.8761904761904762, 0.9519230769230769]",2.6,5,3.156380312483336,9,9.6,11,86.37391803278692,7.273540983606555,0.2504482550249141,0.15555291390531664,0.07488285932221858,0.03740378614520491,0.08157349896480331,0.20531367945555587,0.10176032967794982,0.08568132960278055,0.015356043701028665,0.14285714285714285,0.015429989496866858
f5f6fe4f3281,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",539,100,62,41,4,0.62,4.28,134.0,25.0,20.75,0,0,0,9,0,0,9,0.21168775296792752,0.007400270664330706,"[0.0002794254909862237, 0.0031319000504233807, 0.0076890804550864555]","[0.62, 0.9797979797979798, 1.0, 1.0, 1.0]","[0.1, 0.3838383838383838, 0.6326530612244898, 0.8247422680412371, 0.9166666666666666]",2.5,4,3.9719638615453237,11,10.0,14,83.99535714285717,8.499642857142856,0.2972335730630925,0.08680805274054701,0.06531682467037157,0.04768170426065163,0.08837583088155171,0.19100059932439795,0.14366623079437724,0.09963776754296344,0.004985341929978904,0.14285714285714285,0.019571940104166685
1cd57e8ba660,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",339,66,46,32,4,0.696969696969697,3.9696969696969697,84.0,16.5,13.75,0,0,0,5,0,0,5,0.21067414516883512,0.03750027830784136,"[0.005002090564140915, 0.01848683754603067, 0.032761489351590456]","[0.696969696969697, 0.9692307692307692, 1.0, 1.0, 1.0]","[0.15151515151515152, 0.4153846153846154, 0.65625, 0.8253968253968254, 0.9032258064516129]",1.5,3,2.961947682298726,8,7.5,8,98.10403846153848,4.420128205128204,0.2538647342995169,0.15785024154589372,0.06618357487922705,0.010869565217391304,0.10253623188405797,0.20966183574879227,0.11847826086956521,0.0784035299135291,0.00701255752816371,0.3333333333333333,0.06386810938517251
9a1b41f75b30,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",411,79,57,36,5,0.7215189873417721,4.0886075949367084,82.2,15.8,14.2,0,0,0,7,1,0,8,0.21198589499034579,0.018214938706821865,"[0.0034398537693601516, 0.011120918874788777, 0.012271727787123793, 0.009597376982371009]","[0.7215189873417721, 0.9743589743589743, 1.0, 1.0, 1.0]","[0.1518987341772152, 0.5256410256410257, 0.8441558441558441, 0.9605263157894737, 0.9866666666666667]",1.8,3,2.67549601176376,9,8.0,10,98.80761290322583,4.098408602150538,0.1919465329991646,0.1779782790309106,0.08507936507936507,0.031746031746031744,0.10232247284878863,0.14623224728487885,0.11248120300751879,0.11719189001166302,0.004389057885142378,0.25,0.018232202529907204
5c94b863a797,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",477,90,64,38,4,0.7111111111111111,4.166666666666667,118.5,22.5,20.0,0,0,0,9,2,0,11,0.2144037953142082,0.0079202830189406,"[0.007661383651723752, 0.004073848327000917, 0.0001451925496862294]","[0.7111111111111111, 0.9775280898876404, 1.0, 1.0, 1.0]","[0.12222222222222222, 0.38202247191011235, 0.6818181818181818, 0.8390804597701149, 0.9302325581395349]",2.5,5,3.3089707652997293,10,10.25,12,89.33730769230772,7.257692307692309,0.2887174833635814,0.10841759571342148,0.05420879785671074,0.021778584392014518,0.1276899144412756,0.1836055656382335,0.12157549045026358,0.07535417442736418,0.0004467427625824416,0.25,0.06386810938517251
424bf4a702b7,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",642,118,78,54,5,0.6610169491525424,4.305084745762712,128.4,23.6,20.8,0,0,0,10,0,0,10,0.21123540743008767,0.00841635044241125,"[0.00030933168781546727, 0.0007055463212909119, 0.00565615051236501, 0.01016167236335111]","[0.6610169491525424, 0.9487179487179487, 1.0, 1.0, 1.0]","[0.1016949152542373, 0.36752136752136755, 0.6293103448275862, 0.808695652173913, 0.9298245614035088]",2.2,3,2.9144349680170576,8,9.0,11,86.10576978417265,8.155597122302161,0.2415309940337749,0.12023348052269076,0.13196368580128312,0.012903225806451613,0.08668329569330681,0.17043291648408446,0.10978415972854237,0.0763291975726252,0.0058900330056586014,0.16666666666666666,0.0329261859258016
deb07d3826d2,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",348,65,43,29,3,0.6615384615384615,4.2153846153846155,115.33333333333333,21.666666666666668,17.666666666666668,0,0,0,5,0,0,5,0.21347881112192651,0.003950279316609462,"[0.0024533627912251554, 0.0014969165253843064]","[0.6615384615384615, 0.921875, 0.9841269841269841, 1.0, 1.0]","[0.15384615384615385, 0.375, 0.5873015873015873, 0.7419354838709677, 0.8360655737704918]",2.3333333333333335,3,3.307936507936508,11,9.333333333333334,10,89.84271929824563,7.021578947368422,0.3092917478882391,0.10201429499675113,0.05263157894736842,0.029889538661468484,0.07732293697205977,0.2267706302794022,0.14944769330734242,0.08300986238147902,0.0014032256219809192,0.16666666666666666,0.016303106149037683
c4e69eeeba4a,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",608,115,68,43,4,0.591304347826087,4.156521739130435,151.25,28.75,23.25,0,0,0,14,0,0,14,0.2139765501418383,0.014794471705224946,"[0.010749052269290182, 0.007641803985404733, 0.003800851303142505]","[0.591304347826087, 0.9473684210526315, 1.0, 1.0, 1.0]","[0.08695652173913043, 0.30701754385964913, 0.5752212389380531, 0.75, 0.8828828828828829]",4.25,6,3.608619845234597,11,12.0,17,78.30880639097745,10.597048872180455,0.3115862573099415,0.09228801169590643,0.03399122807017543,0.02010233918128655,0.11732456140350876,0.1907894736842105,0.12280701754385964,0.07856193573578545,0.0004077475821573362,0.25,0.02172933419545492
ac6e5b32a02e,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",435,82,56,40,4,0.6829268292682927,4.182926829268292,108.25,20.5,17.5,0,0,0,6,0,0,6,0.20721913751883383,0.01489093454197199,"[0.013553121264534757, 0.0038882173673071008, 0.004895063181116127]","[0.6829268292682927, 0.9506172839506173, 1.0, 1.0, 1.0]","[0.13414634146341464, 0.4074074074074074, 0.6875, 0.8734177215189873, 0.9743589743589743]",2.25,4,2.989756562881563,8,8.25,10,83.98250000000002,7.383510638297874,0.2631276467029643,0.14222625529340593,0.08596491228070174,0.0339080459770115,0.06884452510586811,0.19836660617059892,0.111826981246219,0.08856250151343968,0.01392257282816628,0.14285714285714285,0.01969186862309774
9025ba9b6908,"['gemini-1.5-flash', 'stamp-letter-send']","['model', 'id']",382,80,58,36,3,0.725,3.7125,127.33333333333333,26.666666666666668,22.666666666666668,0,0,0,9,0,0,9,0.20853363568820651,0.04037163721554446,"[0.017199211559452865, 0.023172425656091594]","[0.725, 0.9746835443037974, 1.0, 1.0, 1.0]","[0.1375, 0.5063291139240507, 0.782051282051282, 0.922077922077922, 0.9868421052631579]",2.6666666666666665,6,3.164415619471799,9,10.0,12,89.27164794007493,8.177752808988767,0.23194444444444443,0.15138888888888888,0.05555555555555555,0.04583333333333333,0.12777777777777777,0.18611111111111112,0.10416666666666667,0.10995883008708125,0.01129357648942092,0.25,0.02161246140797929
